[2013-11-16 1010:1111:5757]    Login :: User:root Password:pepe
[2013-11-16 10:31:58]    Login :: User:root Password:pepe
[2013-11-16 10:37:12]    Login :: User:root Password:pepe
[2013-11-16 10:37:38]    Login :: User:juan Password:pepe
[2013-11-16 10:41:48]    Login :: User:root Password:pepe
[2013-11-16 10:41:55]    Login :: User:juan Password:pepe
[2013-11-16 10:43:28]    Login :: User:juan Password:pepe
[2013-11-16 10:43:28]    Obtener Carrito : Carrito id : 1
[2013-11-16 10:46:10]    Login :: User:juan Password:pepe
[2013-11-16 10:46:10]    nuevoCarrito :: Se crea carrito para Cliente id : 1
[2013-11-16 10:46:10]    ERROR :: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '\'1\', \'2013-11-16\', \'0\', \'0\', \'1\')' at line 1
[2013-11-16 10:48:06]    Login :: User:juan Password:pepe
[2013-11-16 10:48:06]    nuevoCarrito :: Se crea carrito para Cliente id : 1
[2013-11-16 10:48:06]    ERROR :: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''IdCarrito', 'IdCliente', 'Fecha', 'CantArt', 'MontoTotal', 'Activo') VALUES (NU' at line 1
[2013-11-16 10:50:05]    Login :: User:juan Password:pepe
[2013-11-16 10:50:05]    nuevoCarrito :: SQL : INSERT INTO carrito ('IdCarrito', 'IdCliente', 'Fecha', 'CantArt', 'MontoTotal', 'Activo') VALUES (NULL, '1', '2013-11-16', '0', '0', '1');
[2013-11-16 10:50:05]    nuevoCarrito :: Se crea carrito para Cliente id : 1
[2013-11-16 10:50:06]    ERROR :: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''IdCarrito', 'IdCliente', 'Fecha', 'CantArt', 'MontoTotal', 'Activo') VALUES (NU' at line 1
[2013-11-16 10:52:48]    Login :: User:juan Password:pepe
[2013-11-16 10:52:48]    nuevoCarrito :: SQL : INSERT INTO `carrito` (`IdCarrito`, `IdCliente`, `Fecha`, `CantArt`, `MontoTotal`, `Activo`) VALUES (NULL, '1', '2013-11-16', '0', '0', '1');
[2013-11-16 10:52:48]    nuevoCarrito :: Se crea carrito para Cliente id : 1
[2013-11-16 10:52:48]    ERROR :: SQLSTATE[HY000]: General error
[2013-11-16 10:55:39]    Login :: User:juan Password:pepe
[2013-11-16 10:55:39]    nuevoCarrito :: SQL : INSERT INTO `carrito` (`IdCarrito`, `IdCliente`, `Fecha`, `CantArt`, `MontoTotal`, `Activo`) VALUES (NULL, '1', '2013-11-16', '0', '0', '1');
[2013-11-16 10:55:39]    nuevoCarrito :: Se crea carrito para Cliente id : 1
[2013-11-16 10:55:39]    nuevoCarrito :: ERROR :: SQLSTATE[HY000]: General error
